"sales_person_id","day_of_week","total_sales"
1,Friday,711164.0
2,Friday,305812.0
3,Friday,229240.0
4,Friday,408404.0
5,Friday,312363.0
6,Friday,484949.0
7,Friday,428373.0
8,Friday,224053.0
9,Friday,312767.0
10,Friday,271071.0
11,Friday,189495.0
12,Friday,348226.0
13,Friday,229823.0
14,Friday,252251.0
15,Friday,310878.0
16,Friday,273646.0
17,Friday,445444.0
18,Friday,164774.0
19,Friday,146403.0
20,Friday,294951.0
21,Friday,230838.0
22,Friday,472856.0
1,Monday,713489.0
2,Monday,320259.0
3,Monday,225643.0
4,Monday,409117.0
5,Monday,349170.0
6,Monday,535359.0
7,Monday,455835.0
8,Monday,244679.0
9,Monday,333280.0
10,Monday,267765.0
11,Monday,170245.0
12,Monday,377183.0
13,Monday,250267.0
14,Monday,293460.0
15,Monday,315484.0
16,Monday,281888.0
17,Monday,494931.0
18,Monday,155519.0
19,Monday,158116.0
20,Monday,307328.0
21,Monday,255774.0
22,Monday,539668.0
1,Saturday,676498.0
2,Saturday,293262.0
3,Saturday,201643.0
4,Saturday,399591.0
5,Saturday,319695.0
6,Saturday,490074.0
7,Saturday,437370.0
8,Saturday,242937.0
9,Saturday,304291.0
10,Saturday,251563.0
11,Saturday,176132.0
12,Saturday,350304.0
13,Saturday,243738.0
14,Saturday,265208.0
15,Saturday,319139.0
16,Saturday,249403.0
17,Saturday,423188.0
18,Saturday,143116.0
19,Saturday,152208.0
20,Saturday,284782.0
21,Saturday,243912.0
22,Saturday,451783.0
1,Sunday,702083.0
2,Sunday,260202.0
3,Sunday,198031.0
4,Sunday,382504.0
5,Sunday,325941.0
6,Sunday,457104.0
7,Sunday,445565.0
8,Sunday,238598.0
9,Sunday,320662.0
10,Sunday,255165.0
11,Sunday,178181.0
12,Sunday,338292.0
13,Sunday,226581.0
14,Sunday,258628.0
15,Sunday,294464.0
16,Sunday,285526.0
17,Sunday,439902.0
18,Sunday,154470.0
19,Sunday,150864.0
20,Sunday,280907.0
21,Sunday,237633.0
22,Sunday,427592.0
1,Thursday,707725.0
2,Thursday,272445.0
3,Thursday,209292.0
4,Thursday,398705.0
5,Thursday,344390.0
6,Thursday,481073.0
7,Thursday,426156.0
8,Thursday,225396.0
9,Thursday,295975.0
10,Thursday,266571.0
11,Thursday,181049.0
12,Thursday,357637.0
13,Thursday,202116.0
14,Thursday,297268.0
15,Thursday,299806.0
16,Thursday,264875.0
17,Thursday,461309.0
18,Thursday,169933.0
19,Thursday,154362.0
20,Thursday,285677.0
21,Thursday,235569.0
22,Thursday,415879.0
1,Tuesday,769020.0
2,Tuesday,299238.0
3,Tuesday,219221.0
4,Tuesday,387149.0
5,Tuesday,373245.0
6,Tuesday,495337.0
7,Tuesday,468610.0
8,Tuesday,246858.0
9,Tuesday,322980.0
10,Tuesday,275138.0
11,Tuesday,185843.0
12,Tuesday,359713.0
13,Tuesday,255573.0
14,Tuesday,285145.0
15,Tuesday,324228.0
16,Tuesday,277850.0
17,Tuesday,482512.0
18,Tuesday,183416.0
19,Tuesday,175389.0
20,Tuesday,307715.0
21,Tuesday,252963.0
22,Tuesday,477700.0
1,Wednesday,663666.0
2,Wednesday,260144.0
3,Wednesday,193950.0
4,Wednesday,364440.0
5,Wednesday,330628.0
6,Wednesday,480468.0
7,Wednesday,402138.0
8,Wednesday,262234.0
9,Wednesday,336922.0
10,Wednesday,251977.0
11,Wednesday,173176.0
12,Wednesday,370810.0
13,Wednesday,230260.0
14,Wednesday,254956.0
15,Wednesday,315103.0
16,Wednesday,275148.0
17,Wednesday,462231.0
18,Wednesday,143279.0
19,Wednesday,145965.0
20,Wednesday,273768.0
21,Wednesday,221379.0
22,Wednesday,435952.0
